round,player_id,first_equip_tick,match_number
5,65283,17550,1
8,65282,38349,1
8,65284,33191,1
8,65287,33204,1
9,65282,42661,1
10,65280,57536,1
10,65282,51795,1
10,65284,54315,1
10,65286,51929,1
11,65280,58188,1
11,65282,58045,1
11,65283,58224,1
11,65286,61210,1
12,65283,64190,1
12,65286,63859,1
18,65288,96359,1
19,65286,101712,1
19,65288,101763,1
20,65286,108500,1
20,65288,109654,1
21,65286,114532,1
21,65288,114846,1
22,65282,129941,1
22,65286,124673,1
22,65288,123760,1
23,65281,130727,1
23,65283,131201,1
23,65286,130921,1
23,65287,136539,1
23,65288,130686,1
24,65282,136898,1
24,65284,137091,1
24,65287,138010,1
4,65280,22152,2
5,65280,27296,2
6,65280,33220,2
7,65284,40458,2
8,65281,45647,2
8,65287,45688,2
8,65288,46188,2
9,65281,54004,2
10,65281,56904,2
10,65286,59102,2
10,65287,56647,2
10,65288,56755,2
12,65283,68713,2
5,65280,35153,3
5,65282,26727,3
5,65283,32617,3
6,65280,35541,3
6,65282,36321,3
6,65287,41130,3
6,65288,35416,3
7,65282,44342,3
8,65282,51681,3
9,65282,58237,3
9,65288,57749,3
10,65282,65593,3
11,65282,72444,3
12,65281,77220,3
12,65282,77334,3
12,65289,80100,3
16,65287,96298,3
17,65282,103514,3
17,65283,105219,3
17,65284,104671,3
17,65286,110710,3
17,65287,103922,3
18,65285,115761,3
18,65286,110992,3
19,65282,116605,3
19,65285,116562,3
19,65287,120183,3
20,65287,121865,3
21,65287,127468,3
21,65289,131340,3
22,65287,134721,3
22,65288,135303,3
22,65289,134208,3
23,65281,139408,3
23,65283,138784,3
23,65287,139529,3
23,65288,138566,3
24,65284,146046,3
4,65285,20318,4
4,65288,17959,4
5,65281,26495,4
5,65283,31916,4
5,65288,26064,4
6,65281,36998,4
6,65283,36800,4
6,65284,36556,4
6,65288,36247,4
7,65286,41858,4
7,65288,43112,4
8,65283,56155,4
8,65285,50387,4
8,65288,49820,4
9,65283,61013,4
10,65283,70705,4
10,65288,66044,4
10,65289,67257,4
11,65283,77251,4
11,65288,77186,4
12,65281,83991,4
12,65282,83471,4
12,65283,84365,4
12,65288,87490,4
16,65285,105149,4
16,65287,105095,4
16,65288,108578,4
17,65287,110260,4
17,65288,109181,4
18,65280,114359,4
18,65283,115407,4
18,65288,115002,4
18,65289,115234,4
19,65283,118435,4
19,65285,117510,4
20,65283,125374,4
20,65285,124711,4
20,65287,129087,4
21,65287,129314,4
21,65288,129495,4
3,65280,16274,5
3,65289,13763,5
4,65280,22075,5
5,65280,29111,5
5,65285,32012,5
5,65288,27592,5
8,65280,46074,5
9,65280,54201,5
9,65283,53382,5
9,65285,53228,5
10,65280,60152,5
10,65283,59720,5
11,65280,65719,5
11,65283,65352,5
11,65289,72727,5
12,65280,75452,5
12,65282,75611,5
12,65283,75441,5
12,65285,75561,5
12,65287,79023,5
12,65288,78086,5
16,65282,105868,5
16,65288,98700,5
17,65282,106965,5
17,65289,106157,5
18,65280,112599,5
18,65285,113880,5
18,65287,115491,5
18,65288,116610,5
18,65289,114127,5
19,65288,119504,5
19,65289,119029,5
21,65282,132386,5
22,65281,138625,5
22,65282,138440,5
22,65287,138801,5
23,65280,143290,5
23,65282,144355,5
23,65285,147028,5
24,65280,149656,5
24,65282,149739,5
6,65280,34693,6
6,65288,33263,6
6,65289,31241,6
7,65280,35426,6
7,65282,34998,6
8,65280,40059,6
8,65282,40151,6
9,65280,45430,6
9,65282,44453,6
10,65280,50516,6
10,65282,49476,6
10,65283,53149,6
10,65287,49828,6
11,65280,53239,6
11,65281,56937,6
11,65282,53356,6
11,65283,53547,6
11,65284,53748,6
12,65280,57633,6
12,65282,57116,6
12,65283,57426,6
12,65284,57131,6
17,65282,78378,6
21,65289,99310,6
22,65289,107957,6
23,65282,116709,6
23,65287,117073,6
24,65282,122985,6
24,65287,122602,6
7,65280,35207,7
8,65280,38302,7
9,65280,41229,7
9,65281,44728,7
10,65280,45199,7
10,65281,45250,7
11,65280,51113,7
11,65286,51033,7
12,65280,55370,7
12,65282,59423,7
6,65280,30612,8
6,65283,29951,8
7,65280,35580,8
7,65283,35545,8
8,65280,41950,8
8,65283,38662,8
9,65280,44736,8
9,65283,44081,8
9,65284,48223,8
9,65287,43971,8
10,65280,50013,8
10,65283,48954,8
10,65284,48568,8
11,65280,53163,8
11,65283,52282,8
12,65283,60847,8
4,65289,16936,9
5,65289,25410,9
6,65280,31253,9
6,65283,32686,9
6,65289,32102,9
7,65289,37913,9
8,65283,47675,9
8,65289,47196,9
9,65289,52562,9
10,65282,65528,9
10,65289,61558,9
11,65280,68020,9
11,65282,65838,9
12,65289,71544,9
16,65287,103588,9
16,65289,96364,9
17,65280,109801,9
17,65287,103674,9
17,65289,104046,9
18,65280,110150,9
19,65280,115044,9
19,65287,116444,9
19,65289,116696,9
20,65280,118336,9
20,65283,118491,9
5,65284,24634,10
8,65283,39194,10
9,65288,44761,10
10,65282,49859,10
10,65284,49681,10
10,65286,53291,10
10,65287,52004,10
11,65286,57436,10
11,65287,56248,10
12,65286,63701,10
19,65285,102407,10
20,65280,109285,10
20,65285,109185,10
20,65286,111930,10
21,65280,114209,10
21,65281,118707,10
21,65283,114060,10
21,65284,114139,10
21,65286,115723,10
22,65280,120040,10
22,65281,119736,10
22,65284,120024,10
23,65280,124631,10
23,65284,124744,10
24,65280,130802,10
24,65284,130665,10
24,65286,132456,10
5,65280,26097,11
5,65281,20649,11
5,65283,26397,11
5,65285,20617,11
5,65286,24980,11
6,65280,27075,11
6,65281,28025,11
6,65283,26850,11
6,65287,34350,11
7,65281,34847,11
7,65283,34793,11
7,65285,35015,11
7,65286,41787,11
7,65288,41719,11
7,65289,35064,11
8,65285,43060,11
8,65288,42711,11
8,65289,42145,11
9,65281,52685,11
9,65285,49367,11
9,65288,48461,11
9,65289,48383,11
10,65281,56238,11
10,65287,59019,11
11,65287,59741,11
11,65289,59884,11
12,65287,63338,11
12,65289,63687,11
16,65280,84221,11
17,65280,93445,11
17,65283,93739,11
17,65285,93645,11
17,65287,100441,11
18,65281,100841,11
18,65285,101800,11
18,65287,100675,11
18,65288,100755,11
18,65289,101144,11
19,65281,111058,11
19,65289,116284,11
20,65281,116710,11
20,65282,122804,11
20,65283,119132,11
20,65285,118066,11
20,65289,116432,11
21,65280,129539,11
21,65285,126149,11
22,65280,132535,11
22,65285,138358,11
23,65281,141024,11
23,65283,142391,11
23,65285,142001,11
4,65283,17916,12
4,65285,17709,12
4,65288,21916,12
5,65283,29772,12
5,65285,23314,12
5,65288,23524,12
6,65283,30606,12
