round,tick,event_type,player_id,match_number,site
6,26686,bomb_planted,65288,1,B
8,40684,bomb_planted,65286,1,B
11,61145,bomb_planted,65285,1,B
11,63769,bomb_exploded,65285,1,B
13,72789,bomb_planted,65283,1,A
21,120325,bomb_planted,65283,1,B
21,122949,bomb_exploded,65283,1,B
22,129310,bomb_planted,65284,1,A
2,11837,bomb_planted,65287,2,A
2,13754,bomb_defused,65284,2,A
3,18770,bomb_planted,65285,2,A
3,20713,bomb_defused,65282,2,A
6,37108,bomb_planted,65287,2,A
6,39732,bomb_exploded,65287,2,A
7,45133,bomb_planted,65285,2,A
8,49597,bomb_planted,65287,2,B
8,52221,bomb_exploded,65287,2,B
14,80255,bomb_planted,65284,2,B
16,93078,bomb_planted,65281,2,B
16,94428,bomb_defused,65286,2,B
18,106914,bomb_planted,65282,2,B
18,109538,bomb_exploded,65282,2,B
2,8593,bomb_planted,65286,3,B
2,10904,bomb_defused,65282,3,B
4,24242,bomb_planted,65289,3,B
5,32192,bomb_planted,65289,3,A
5,34816,bomb_exploded,65289,3,A
6,40761,bomb_planted,65287,3,A
6,43107,bomb_defused,65284,3,A
8,54885,bomb_planted,65288,3,B
8,56331,bomb_defused,65282,3,B
15,93565,bomb_planted,65280,3,B
15,95652,bomb_defused,65285,3,B
16,99744,bomb_planted,65280,3,A
16,102368,bomb_exploded,65280,3,A
17,108106,bomb_planted,65283,3,A
17,110332,bomb_defused,65286,3,A
20,123086,bomb_planted,65281,3,B
20,125710,bomb_exploded,65281,3,B
21,131134,bomb_planted,65283,3,A
21,133758,bomb_exploded,65283,3,A
23,142899,bomb_planted,65280,3,A
24,147197,bomb_planted,65281,3,B
24,148836,bomb_defused,65289,3,B
4,23687,bomb_planted,65289,4,A
5,33115,bomb_planted,65288,4,A
5,35739,bomb_exploded,65288,4,A
7,46877,bomb_planted,65287,4,A
7,49501,bomb_exploded,65287,4,A
8,56778,bomb_planted,65286,4,B
8,59402,bomb_exploded,65286,4,B
10,74102,bomb_planted,65287,4,B
10,76726,bomb_exploded,65287,4,B
12,87381,bomb_planted,65287,4,A
13,93124,bomb_planted,65280,4,A
14,97809,bomb_planted,65284,4,A
15,102743,bomb_planted,65282,4,A
17,111954,bomb_planted,65281,4,B
18,117175,bomb_planted,65280,4,A
19,121142,bomb_planted,65280,4,B
19,123766,bomb_exploded,65280,4,B
21,132966,bomb_planted,65283,4,B
22,137341,bomb_planted,65282,4,A
22,139965,bomb_exploded,65282,4,A
2,10949,bomb_planted,65287,5,B
3,18503,bomb_planted,65287,5,B
3,21127,bomb_exploded,65287,5,B
5,33186,bomb_planted,65289,5,B
5,35702,bomb_defused,65282,5,B
7,42892,bomb_planted,65289,5,B
7,45516,bomb_exploded,65289,5,B
11,72284,bomb_planted,65289,5,B
11,74908,bomb_exploded,65289,5,B
12,78750,bomb_planted,65289,5,B
12,81374,bomb_exploded,65289,5,B
13,85360,bomb_planted,65284,5,A
13,86857,bomb_defused,65288,5,A
16,103283,bomb_planted,65282,5,A
18,116753,bomb_planted,65284,5,A
18,118351,bomb_defused,65286,5,A
19,123920,bomb_planted,65281,5,B
19,126544,bomb_exploded,65281,5,B
21,137418,bomb_planted,65282,5,A
22,142972,bomb_planted,65282,5,A
23,147651,bomb_planted,65282,5,A
24,154794,bomb_planted,65281,5,A
2,12096,bomb_planted,65288,6,A
3,18360,bomb_planted,65286,6,A
4,23938,bomb_planted,65289,6,A
13,63128,bomb_planted,65281,6,B
13,64890,bomb_defused,65286,6,B
22,113717,bomb_planted,65282,6,A
22,116341,bomb_exploded,65282,6,B
3,16660,bomb_planted,65288,7,A
3,18809,bomb_defused,65280,7,A
12,59124,bomb_planted,65287,7,A
13,64607,bomb_planted,65281,7,B
14,69610,bomb_planted,65284,7,B
14,70688,bomb_defused,65288,7,B
15,75112,bomb_planted,65283,7,B
8,42258,bomb_planted,65286,8,A
13,69983,bomb_planted,65282,8,B
16,82374,bomb_planted,65284,8,A
16,84998,bomb_exploded,65284,8,A
6,36093,bomb_planted,65287,9,A
9,59892,bomb_planted,65289,9,A
11,68680,bomb_planted,65288,9,B
13,80848,bomb_planted,65282,9,B
16,101147,bomb_planted,65284,9,B
16,103167,bomb_defused,65287,9,B
17,108786,bomb_planted,65280,9,B
18,114910,bomb_planted,65282,9,A
20,122055,bomb_planted,65282,9,A
20,124679,bomb_exploded,65282,9,A
2,7423,bomb_planted,65288,10,A
4,21337,bomb_planted,65286,10,A
4,23961,bomb_exploded,65286,10,A
5,27937,bomb_planted,65288,10,A
8,43273,bomb_planted,65289,10,B
8,44043,bomb_defused,65281,10,B
10,53137,bomb_planted,65285,10,A
10,55761,bomb_exploded,65285,10,B
14,77108,bomb_planted,65281,10,B
14,77912,bomb_defused,65286,10,B
16,86593,bomb_planted,65281,10,A
18,101600,bomb_planted,65281,10,A
19,106061,bomb_planted,65283,10,A
19,108685,bomb_exploded,65283,10,A
21,118613,bomb_planted,65281,10,A
22,123664,bomb_planted,65281,10,A
23,128009,bomb_planted,65281,10,A
23,130122,bomb_defused,65286,10,A
24,134484,bomb_planted,65283,10,A
4,18060,bomb_planted,65285,11,B
4,19990,bomb_defused,65283,11,B
5,25164,bomb_planted,65288,11,A
5,26352,bomb_defused,65284,11,A
7,41593,bomb_planted,65288,11,B
8,46977,bomb_planted,65288,11,B
9,52447,bomb_planted,65285,11,A
9,54467,bomb_defused,65281,11,A
11,62957,bomb_planted,65286,11,A
13,70138,bomb_planted,65282,11,B
13,71816,bomb_defused,65288,11,B
14,76344,bomb_planted,65280,11,A
16,90252,bomb_planted,65280,11,A
16,92876,bomb_exploded,65280,11,A
18,108376,bomb_planted,65283,11,A
20,123061,bomb_planted,65280,11,B
20,125307,bomb_defused,65286,11,B
21,131874,bomb_planted,65281,11,A
22,138511,bomb_planted,65281,11,A
22,140402,bomb_defused,65285,11,A
3,14766,bomb_planted,65289,12,B
3,16754,bomb_defused,65283,12,B
4,22406,bomb_planted,65285,12,A
5,27840,bomb_planted,65287,12,A
5,30025,bomb_defused,65280,12,A
6,35923,bomb_planted,65289,12,B
7,44388,bomb_planted,65285,12,B
9,54256,bomb_planted,65285,12,A
11,71704,bomb_planted,65289,12,A
12,78765,bomb_planted,65285,12,A
12,80480,bomb_defused,65281,12,A
14,88666,bomb_planted,65281,12,A
15,95951,bomb_defused,65286,12,B
16,101608,bomb_planted,65282,12,B
18,113158,bomb_planted,65281,12,B
18,114165,bomb_defused,65289,12,B
2,9661,bomb_planted,65285,13,B
2,11230,bomb_defused,65283,13,B
4,23320,bomb_planted,65287,13,B
5,29729,bomb_planted,65286,13,A
5,32353,bomb_exploded,65286,13,A
7,42850,bomb_planted,65289,13,A
9,58046,bomb_planted,65288,13,A
12,81273,bomb_planted,65289,13,B
12,83620,bomb_defused,65284,13,B
13,93866,bomb_planted,65281,13,A
14,97949,bomb_planted,65282,13,A
17,113885,bomb_planted,65284,13,A
17,116509,bomb_exploded,65284,13,A
21,140095,bomb_planted,65280,13,B
21,142121,bomb_defused,65288,13,B
5,21747,bomb_planted,65288,14,B
5,24371,bomb_exploded,65288,14,B
6,32220,bomb_planted,65288,14,B
6,33639,bomb_defused,65280,14,B
9,50728,bomb_planted,65287,14,B
9,51992,bomb_defused,65283,14,B
11,61673,bomb_planted,65286,14,A
12,66981,bomb_planted,65287,14,A
12,68174,bomb_defused,65280,14,A
16,92236,bomb_planted,65284,14,B
16,94525,bomb_defused,65287,14,B
18,105569,bomb_planted,65283,14,A
9,47449,bomb_planted,65286,15,B
10,51811,bomb_planted,65286,15,B
