round,player_id,team_label,money,current_equipment_cost,match_number
2,65280,CT,2700,200,1
2,65281,CT,3000,200,1
2,65282,CT,2700,200,1
2,65283,CT,3300,200,1
2,65284,CT,2600,200,1
2,65285,T,4650,200,1
2,65286,T,3450,200,1
2,65287,T,4600,850,1
2,65288,T,3400,200,1
2,65289,T,4050,200,1
3,65280,CT,5600,200,1
3,65281,CT,6250,2100,1
3,65282,CT,6550,2000,1
3,65283,CT,6850,200,1
3,65284,CT,6150,3200,1
3,65285,T,6350,200,1
3,65286,T,1800,200,1
3,65287,T,1600,200,1
3,65288,T,1700,200,1
3,65289,T,5450,200,1
4,65280,CT,4650,4700,1
4,65281,CT,6200,4700,1
4,65282,CT,10100,200,1
4,65283,CT,9100,3500,1
4,65284,CT,8000,200,1
4,65285,T,2200,200,1
4,65286,T,2000,200,1
4,65287,T,2800,200,1
4,65288,T,1900,200,1
4,65289,T,4550,200,1
5,65280,CT,6050,4700,1
5,65281,CT,9450,4700,1
5,65282,CT,9650,4700,1
5,65283,CT,11350,200,1
5,65284,CT,7850,4500,1
5,65285,T,4600,200,1
5,65286,T,2600,200,1
5,65287,T,3250,200,1
5,65288,T,4100,200,1
5,65289,T,2950,200,1
6,65280,CT,8100,200,1
6,65281,CT,13000,4700,1
6,65282,CT,13200,4500,1
6,65283,CT,8150,200,1
6,65284,CT,11350,4500,1
6,65285,T,3700,200,1
6,65286,T,3050,200,1
6,65287,T,3500,200,1
6,65288,T,2900,200,1
6,65289,T,3400,200,1
7,65280,CT,6900,200,1
7,65281,CT,14050,200,1
7,65282,CT,14600,200,1
7,65283,CT,5950,200,1
7,65284,CT,12750,200,1
7,65285,T,4250,3400,1
7,65286,T,3900,200,1
7,65287,T,4900,4100,1
7,65288,T,3700,2900,1
7,65289,T,4150,200,1
8,65280,CT,5050,4700,1
8,65281,CT,13900,4700,1
8,65282,CT,12650,4500,1
8,65283,CT,5200,4500,1
8,65284,CT,12000,200,1
8,65285,T,6250,200,1
8,65286,T,2600,200,1
8,65287,T,6900,200,1
8,65288,T,4100,200,1
8,65289,T,2550,200,1
9,65280,CT,5050,200,1
9,65281,CT,15300,200,1
9,65282,CT,14950,200,1
9,65283,CT,5700,200,1
9,65284,CT,7350,200,1
9,65285,T,5300,200,1
9,65286,T,7200,3100,1
9,65287,T,4400,200,1
9,65289,T,3300,200,1
10,65280,CT,3800,200,1
10,65281,CT,14550,4500,1
10,65282,CT,12050,200,1
10,65283,CT,5250,4500,1
10,65284,CT,6600,4700,1
10,65285,T,2400,200,1
10,65286,T,5400,200,1
10,65287,T,2500,200,1
10,65289,T,2400,200,1
11,65280,CT,5000,6350,1
11,65281,CT,16000,4500,1
11,65282,CT,9150,200,1
11,65283,CT,8800,200,1
11,65284,CT,9850,200,1
11,65285,T,4800,200,1
11,65286,T,2400,200,1
11,65287,T,3250,200,1
11,65289,T,2750,200,1
12,65280,CT,5200,200,1
12,65281,CT,16000,200,1
12,65282,CT,4500,200,1
12,65283,CT,7500,200,1
12,65284,CT,7250,200,1
12,65285,T,3850,200,1
12,65286,T,4700,5950,1
12,65287,T,3750,200,1
12,65289,T,3500,200,1
13,65280,T,800,200,1
13,65281,T,800,200,1
13,65282,T,800,200,1
13,65283,T,800,200,1
13,65284,T,800,200,1
13,65285,CT,800,200,1
13,65286,CT,800,200,1
13,65287,CT,800,200,1
13,65289,CT,800,200,1
