round,player_id,first_equip_tick,match_number
6,65281,17498,1
7,65281,22633,1
8,65281,24347,1
5,65280,17769,2
6,65280,21128,2
6,65281,21049,2
7,65280,25362,2
7,65281,25501,2
8,65280,28151,2
8,65281,27987,2
5,65284,20084,3
6,65284,28031,3
6,65286,30411,3
7,65286,34147,3
8,65282,47810,3
8,65286,41489,3
9,65280,50998,3
9,65282,48426,3
9,65286,54567,3
9,65287,48511,3
9,65288,48997,3
9,65289,48441,3
10,65282,60851,3
10,65284,59298,3
10,65286,55486,3
10,65288,57062,3
11,65282,60963,3
11,65284,61377,3
12,65284,66912,3
16,65284,95705,3
16,65287,102869,3
17,65284,106788,3
17,65287,104946,3
18,65284,109827,3
18,65285,110215,3
18,65289,110437,3
20,65284,120693,3
21,65287,125955,3
21,65289,125561,3
23,65286,135437,3
24,65282,143621,3
24,65284,140938,3
24,65285,147560,3
3,65280,7620,4
5,65280,22217,4
5,65282,19096,4
5,65283,22221,4
5,65284,19044,4
5,65289,19401,4
6,65280,22659,4
6,65281,22770,4
6,65282,23531,4
6,65284,23339,4
7,65281,28207,4
7,65282,28160,4
7,65284,29467,4
8,65280,37556,4
8,65281,34510,4
8,65282,34485,4
8,65286,34586,4
9,65280,41025,4
9,65281,40993,4
9,65283,47696,4
9,65284,47701,4
9,65287,40892,4
10,65280,49239,4
10,65281,48443,4
10,65282,48164,4
10,65284,48370,4
11,65280,52433,4
11,65281,53647,4
11,65286,52552,4
12,65281,58221,4
12,65286,57715,4
5,65286,19272,5
5,65287,19576,5
6,65285,23497,5
6,65286,24064,5
7,65281,29108,5
7,65282,28833,5
7,65285,29376,5
7,65286,30014,5
8,65281,32855,5
8,65282,33318,5
8,65286,32908,5
8,65289,32919,5
9,65281,39177,5
9,65282,39274,5
9,65289,43639,5
10,65281,44803,5
10,65287,48731,5
10,65289,44008,5
11,65281,54433,5
11,65282,54410,5
11,65285,53890,5
11,65287,50565,5
11,65289,50311,5
12,65281,55361,5
12,65282,55259,5
17,65281,87316,5
18,65281,95321,5
18,65282,95382,5
19,65282,103093,5
19,65285,107472,5
19,65289,102975,5
20,65281,113765,5
20,65285,111369,5
22,65282,125646,5
4,65280,7146,6
5,65280,9867,6
5,65283,11729,6
6,65283,12966,6
7,65283,15042,6
8,65283,18466,6
13,65282,37173,6
14,65282,40832,6
15,65280,42269,6
15,65282,42402,6
16,65280,47976,6
16,65282,46669,6
8,65282,40642,7
8,65285,41306,7
9,65282,46563,7
10,65282,55988,7
10,65289,59641,7
11,65289,59892,7
12,65286,73975,7
12,65289,73262,7
15,65280,87212,7
15,65285,91682,7
16,65285,91800,7
17,65285,102368,7
4,65286,14220,8
5,65282,21715,8
5,65285,25643,8
5,65286,21937,8
6,65280,27460,8
6,65283,31597,8
6,65285,27084,8
6,65286,29482,8
6,65287,30091,8
7,65282,38171,8
7,65283,34047,8
8,65280,42222,8
8,65282,40184,8
8,65285,43507,8
8,65288,39551,8
9,65283,51800,8
9,65285,48094,8
10,65283,52831,8
11,65283,56005,8
12,65283,61520,8
12,65286,61197,8
16,65282,83595,8
16,65283,86716,8
17,65281,101566,8
17,65282,92365,8
17,65283,91751,8
17,65286,99971,8
17,65288,92419,8
17,65289,94482,8
18,65281,102006,8
18,65282,103753,8
18,65284,102266,8
7,65280,35642,10
7,65287,39656,10
8,65287,42546,10
9,65287,49183,10
10,65283,55183,10
10,65287,54565,10
11,65287,58904,10
12,65287,66111,10
15,65288,81294,10
3,65285,13618,11
4,65280,21493,11
4,65282,22412,11
5,65283,30266,11
6,65283,36949,11
7,65283,41919,11
9,65280,61174,11
9,65287,61039,11
10,65281,70026,11
11,65285,76477,11
12,65281,83277,11
12,65282,82444,11
12,65285,82518,11
16,65282,108764,11
17,65282,114087,11
3,65285,16854,12
4,65285,30043,12
5,65280,37332,12
5,65283,38818,12
6,65283,41668,12
6,65286,46700,12
7,65283,48710,12
8,65280,54603,12
8,65282,59729,12
8,65283,54066,12
8,65287,58357,12
9,65280,60942,12
9,65282,60600,12
9,65283,60809,12
9,65284,65891,12
9,65288,64880,12
10,65282,66616,12
10,65283,68172,12
10,65288,67305,12
10,65289,69532,12
11,65282,71120,12
12,65282,79445,12
12,65283,86444,12
12,65288,80306,12
3,65282,15516,13
4,65288,22097,13
5,65280,25995,13
5,65284,25877,13
6,65280,32406,13
6,65285,31127,13
7,65280,36278,13
7,65282,36469,13
7,65288,36372,13
8,65280,39998,13
8,65281,44293,13
8,65282,40230,13
9,65281,45577,13
9,65282,45679,13
3,65280,11534,14
3,65282,13637,14
6,65280,34055,14
6,65288,34437,14
7,65280,45649,14
7,65282,45536,14
7,65287,39046,14
7,65288,38877,14
8,65280,45883,14
8,65282,46049,14
8,65285,46359,14
9,65280,52112,14
9,65282,52104,14
9,65285,52779,14
9,65286,52141,14
9,65289,57174,14
10,65280,60160,14
10,65282,57914,14
10,65284,59828,14
10,65285,59567,14
10,65286,58216,14
10,65288,59247,14
10,65289,57912,14
11,65285,60980,14
11,65286,60955,14
11,65288,61447,14
12,65280,70128,14
15,65282,98612,14
15,65289,103348,14
16,65280,104554,14
16,65288,104809,14
17,65287,111026,14
18,65287,120044,14
19,65285,127776,14
19,65287,127476,14
20,65280,134171,14
20,65285,135307,14
20,65287,138588,14
20,65288,134206,14
21,65285,140927,14
21,65287,141442,14
21,65288,142923,14
3,65281,12955,15
5,65281,27859,15
5,65284,29354,15
7,65289,41013,15
8,65289,48714,15
9,65281,54479,15
9,65289,54464,15
10,65281,64828,15
10,65286,65300,15
10,65289,63383,15
11,65281,79066,15
11,65284,81822,15
11,65286,79072,15
11,65289,82920,15
12,65288,84095,15
12,65289,83852,15
16,65281,109044,15
16,65283,108759,15
17,65283,117762,15
18,65282,125283,15
18,65283,122524,15
18,65289,122415,15
7,65284,35428,16
8,65284,45526,16
9,65284,56129,16
10,65284,62220,16
10,65286,67021,16
11,65283,72723,16
11,65284,70234,16
11,65286,70240,16
11,65288,77845,16
12,65284,78283,16
12,65289,78991,16
16,65280,108725,16
16,65284,108253,16
17,65280,113524,16
17,65284,113423,16
18,65280,121992,16
19,65280,127403,16
20,65280,135157,16
20,65284,137573,16
21,65281,160897,16
21,65288,143152,16
24,65284,178106,16
25,65283,184051,16
25,65286,184415,16
25,65287,187508,16
26,65283,191400,16
26,65284,191370,16
28,65283,206007,16
28,65287,216615,16
29,65283,216846,16
29,65284,216865,16
29,65286,218474,16
30,65283,224590,16
4,65281,20858,17
5,65288,28819,17
7,65282,41402,17
8,65282,46723,17
8,65288,47857,17
9,65280,55083,17
9,65282,55269,17
10,65280,60184,17
10,65281,61379,17
10,65288,60551,17
11,65282,71823,17
11,65288,69389,17
12,65282,72085,17
12,65288,72775,17
12,65289,77826,17
16,65280,93194,17
16,65281,93276,17
4,65288,17595,18
5,65286,27567,18
5,65288,24036,18
6,65288,28013,18
7,65280,41027,18
7,65288,33485,18
7,65289,37608,18
8,65280,41240,18
8,65281,42656,18
8,65282,47321,18
8,65285,41412,18
9,65280,50227,18
9,65281,50360,18
9,65282,53670,18
9,65289,49535,18
10,65280,58947,18
10,65281,56982,18
10,65282,57505,18
10,65286,57915,18
10,65287,56129,18
11,65280,62702,18
11,65281,63407,18
11,65282,64190,18
11,65287,62873,18
12,65281,70515,18
12,65282,71075,18
19,65281,113351,18
19,65284,116967,18
20,65284,118071,18
3,65283,11483,19
3,65285,16658,19
4,65281,18980,19
4,65285,20745,19
4,65286,23801,19
5,65281,29390,19
5,65283,27826,19
5,65285,26342,19
5,65286,23895,19
6,65281,31047,19
6,65283,29565,19
7,65280,41725,19
7,65288,36462,19
8,65280,45826,19
8,65283,44575,19
9,65286,50471,19
19,65281,112903,19
19,65283,114399,19
19,65284,119601,19
4,65282,16347,20
4,65283,16030,20
5,65282,24048,20
5,65283,24978,20
5,65289,23509,20
6,65282,32483,20
6,65283,32520,20
7,65282,41068,20
7,65283,42549,20
7,65288,44926,20
8,65280,53787,20
8,65282,50130,20
8,65283,50009,20
8,65285,50019,20
8,65289,50278,20
9,65283,60582,20
9,65285,60824,20
10,65280,72964,20
10,65285,70244,20
11,65283,78064,20
12,65283,84555,20
17,65282,114474,20
17,65283,115019,20
18,65283,123099,20
19,65283,131742,20
3,65283,7688,21
3,65289,13672,21
4,65289,14671,21
5,65281,25047,21
5,65289,19464,21
6,65281,25543,21
6,65283,27032,21
7,65280,30261,21
7,65281,29591,21
7,65282,29361,21
7,65283,31717,21
8,65281,38027,21
9,65281,42503,21
10,65281,46621,21
10,65283,46868,21
10,65286,49359,21
11,65283,59016,21
11,65285,53852,21
11,65286,54137,21
11,65288,54844,21
12,65281,59787,21
12,65286,59759,21
19,65281,100556,21
19,65283,103107,21
19,65286,100645,21
20,65280,111949,21
20,65281,111028,21
20,65282,108691,21
20,65283,108577,21
20,65284,113037,21
20,65286,108797,21
20,65288,108414,21
20,65289,115184,21
21,65286,116865,21
22,65286,122109,21
9,65286,59059,22
9,65287,66061,22
9,65289,59105,22
10,65281,67689,22
10,65283,67719,22
10,65286,67561,22
10,65287,67503,22
11,65281,77438,22
11,65282,80901,22
11,65284,75975,22
11,65286,76181,22
12,65280,83493,22
12,65281,88423,22
12,65282,84960,22
12,65286,83522,22
18,65286,121992,22
19,65280,139255,22
19,65282,130976,22
20,65280,139860,22
21,65280,144055,22
21,65281,145497,22
22,65280,152935,22
22,65281,153031,22
22,65283,157251,22
4,65288,14470,24
6,65288,24961,24
7,65283,38358,24
7,65288,33728,24
8,65282,39220,24
8,65283,38961,24
