round,tick,event_type,player_id,match_number,site
4,11913,bomb_planted,65283,1,A
4,13104,bomb_defused,65281,1,A
6,20345,bomb_planted,65282,1,A
6,21361,bomb_defused,65281,1,A
9,29766,bomb_planted,65280,1,A
2,4902,bomb_planted,65282,2,A
2,7182,bomb_defused,65280,2,A
3,14155,bomb_planted,65289,3,A
5,24897,bomb_planted,65287,3,A
5,27521,bomb_exploded,65287,3,B
6,31870,bomb_planted,65288,3,B
7,38353,bomb_planted,65286,3,B
7,40977,bomb_exploded,65286,3,B
8,46791,bomb_planted,65286,3,B
8,47901,bomb_defused,65283,3,B
12,71634,bomb_planted,65286,3,A
14,84519,bomb_planted,65282,3,B
15,92536,bomb_planted,65281,3,A
15,95160,bomb_exploded,65281,3,A
17,107448,bomb_planted,65283,3,A
17,109213,bomb_defused,65285,3,A
22,133548,bomb_planted,65283,3,A
4,16296,bomb_planted,65287,4,B
4,18197,bomb_defused,65281,4,B
8,38832,bomb_planted,65288,4,B
8,40291,bomb_defused,65280,4,B
12,65557,bomb_planted,65287,4,B
13,70435,bomb_planted,65284,4,A
15,79886,bomb_planted,65283,4,A
15,82108,bomb_defused,65289,4,A
2,7523,bomb_planted,65288,5,A
4,15842,bomb_planted,65288,5,A
4,18466,bomb_exploded,65288,5,A
6,27868,bomb_planted,65288,5,B
9,42209,bomb_planted,65288,5,A
10,48742,bomb_planted,65285,5,B
12,58526,bomb_planted,65288,5,B
12,61037,bomb_defused,65283,5,B
13,65907,bomb_planted,65283,5,A
14,70612,bomb_planted,65280,5,B
16,84026,bomb_planted,65284,5,A
16,86650,bomb_exploded,65284,5,A
17,93629,bomb_planted,65280,5,B
18,100740,bomb_planted,65283,5,A
21,124295,bomb_planted,65284,5,B
22,132729,bomb_planted,65282,5,A
22,135353,bomb_exploded,65282,5,A
7,17322,bomb_planted,65283,6,A
10,30279,bomb_planted,65280,6,A
11,32956,bomb_planted,65280,6,A
3,16028,bomb_planted,65282,7,B
4,21474,bomb_planted,65281,7,B
7,40335,bomb_planted,65284,7,B
8,45552,bomb_planted,65283,7,A
18,113658,bomb_planted,65285,7,A
19,119583,bomb_planted,65289,7,A
19,122207,bomb_exploded,65289,7,B
2,9429,bomb_planted,65286,8,A
4,18978,bomb_planted,65286,8,A
4,21035,bomb_defused,65281,8,A
5,25373,bomb_planted,65288,8,A
7,36796,bomb_planted,65286,8,A
7,38401,bomb_defused,65280,8,A
8,44992,bomb_planted,65285,8,B
11,59526,bomb_planted,65286,8,A
11,60623,bomb_defused,65283,8,A
13,70973,bomb_planted,65283,8,B
14,76571,bomb_planted,65284,8,B
16,89464,bomb_planted,65283,8,A
17,99372,bomb_planted,65281,8,A
18,105701,bomb_planted,65283,8,A
3,15640,bomb_planted,65286,10,B
4,21354,bomb_planted,65288,10,B
5,27407,bomb_planted,65287,10,B
6,34266,bomb_planted,65286,10,B
8,46469,bomb_planted,65285,10,A
8,48423,bomb_defused,65283,10,A
9,51295,bomb_planted,65285,10,A
10,57451,bomb_planted,65287,10,B
11,63443,bomb_planted,65288,10,B
11,65422,bomb_defused,65282,10,B
12,69459,bomb_planted,65286,10,B
4,27023,bomb_planted,65288,11,B
4,29647,bomb_exploded,65288,11,B
5,34422,bomb_planted,65289,11,A
5,35782,bomb_defused,65280,11,A
7,49687,bomb_planted,65287,11,A
8,58485,bomb_planted,65287,11,B
8,60416,bomb_defused,65281,11,B
13,95624,bomb_planted,65281,11,B
16,111822,bomb_planted,65282,11,A
17,119619,bomb_planted,65284,11,B
2,15480,bomb_planted,65280,12,B
4,35960,bomb_planted,65280,12,A
6,45293,bomb_planted,65280,12,A
6,47917,bomb_exploded,65280,12,B
8,59109,bomb_planted,65282,12,A
11,77281,bomb_planted,65284,12,B
12,83765,bomb_planted,65284,12,B
12,86389,bomb_exploded,65284,12,A
3,19636,bomb_planted,65285,13,B
3,16883,bomb_planted,65287,14,A
4,23706,bomb_planted,65286,14,A
5,30795,bomb_planted,65289,14,A
5,33419,bomb_exploded,65289,14,A
6,38185,bomb_planted,65288,14,A
9,56639,bomb_planted,65287,14,B
11,66668,bomb_planted,65286,14,A
11,69292,bomb_exploded,65286,14,A
13,89501,bomb_planted,65281,14,A
13,92125,bomb_exploded,65281,14,A
14,96404,bomb_planted,65282,14,A
16,108179,bomb_planted,65284,14,A
17,116825,bomb_planted,65280,14,B
17,119356,bomb_defused,65289,14,B
19,131400,bomb_planted,65280,14,B
19,133294,bomb_defused,65286,14,B
2,11106,bomb_planted,65286,15,A
4,25380,bomb_planted,65289,15,A
7,46549,bomb_planted,65285,15,B
8,54338,bomb_planted,65289,15,A
9,60260,bomb_planted,65287,15,A
9,62884,bomb_exploded,65287,15,B
10,76806,bomb_planted,65287,15,B
12,88005,bomb_planted,65287,15,A
13,93207,bomb_planted,65280,15,A
14,99158,bomb_planted,65281,15,B
15,106174,bomb_planted,65284,15,A
17,122263,bomb_planted,65283,15,B
2,8782,bomb_planted,65280,16,A
7,42740,bomb_planted,65282,16,A
8,55080,bomb_planted,65281,16,B
9,60574,bomb_planted,65284,16,B
10,67025,bomb_planted,65283,16,A
10,69649,bomb_exploded,65283,16,A
11,75549,bomb_planted,65283,16,A
11,77478,bomb_defused,65288,16,A
17,117766,bomb_planted,65286,16,B
17,120390,bomb_exploded,65286,16,A
19,131996,bomb_planted,65289,16,A
19,134620,bomb_exploded,65289,16,A
20,141303,bomb_planted,65288,16,B
22,169708,bomb_planted,65286,16,B
24,180878,bomb_planted,65289,16,B
25,188878,bomb_planted,65285,16,A
27,204010,bomb_planted,65287,16,B
28,214398,bomb_planted,65281,16,B
28,216263,bomb_defused,65287,16,B
29,222390,bomb_planted,65282,16,A
30,230359,bomb_planted,65282,16,B
2,11754,bomb_planted,65282,17,A
3,19455,bomb_planted,65283,17,B
4,24790,bomb_planted,65284,17,A
4,27414,bomb_exploded,65284,17,A
5,32351,bomb_planted,65281,17,A
6,39816,bomb_planted,65284,17,B
7,44911,bomb_planted,65282,17,B
8,51501,bomb_planted,65284,17,B
8,54125,bomb_exploded,65284,17,B
9,58849,bomb_planted,65281,17,B
11,71243,bomb_planted,65284,17,A
12,76593,bomb_planted,65281,17,A
12,78018,bomb_defused,65285,17,A
13,82225,bomb_planted,65287,17,A
2,9657,bomb_planted,65281,18,A
2,10697,bomb_defused,65288,18,A
8,46037,bomb_planted,65282,18,B
8,48661,bomb_exploded,65282,18,B
9,53391,bomb_planted,65283,18,B
10,61248,bomb_planted,65282,18,A
11,67090,bomb_planted,65281,18,B
12,73931,bomb_planted,65280,18,A
2,9131,bomb_planted,65284,19,B
3,15735,bomb_planted,65280,19,A
3,18359,bomb_exploded,65280,19,A
5,28200,bomb_planted,65280,19,B
6,33942,bomb_planted,65282,19,A
7,41133,bomb_planted,65284,19,A
7,43757,bomb_exploded,65284,19,A
9,54825,bomb_planted,65284,19,A
10,59487,bomb_planted,65282,19,B
10,61978,bomb_defused,65285,19,B
11,67064,bomb_planted,65281,19,B
12,73417,bomb_planted,65282,19,A
12,75928,bomb_defused,65289,19,A
13,80801,bomb_planted,65286,19,A
16,98602,bomb_planted,65286,19,A
17,105095,bomb_planted,65289,19,A
17,106473,bomb_defused,65281,19,A
19,117513,bomb_planted,65289,19,B
19,119449,bomb_defused,65284,19,B
3,13015,bomb_planted,65287,20,B
3,15317,bomb_defused,65281,20,B
4,21602,bomb_planted,65286,20,B
4,22885,bomb_defused,65282,20,B
7,47329,bomb_planted,65288,20,A
7,49403,bomb_defused,65283,20,A
8,57380,bomb_planted,65288,20,A
8,60004,bomb_exploded,65288,20,B
9,66423,bomb_planted,65288,20,B
10,74440,bomb_planted,65286,20,A
10,75971,bomb_defused,65283,20,A
11,81263,bomb_planted,65289,20,A
11,83887,bomb_exploded,65289,20,B
15,106631,bomb_planted,65280,20,A
16,112286,bomb_planted,65282,20,B
17,119815,bomb_planted,65283,20,A
17,122439,bomb_exploded,65283,20,A
19,135727,bomb_planted,65282,20,A
19,138351,bomb_exploded,65282,20,A
3,11041,bomb_planted,65289,21,A
3,13665,bomb_exploded,65289,21,A
4,17764,bomb_planted,65287,21,B
7,34898,bomb_planted,65289,21,A
10,52011,bomb_planted,65286,21,A
13,69627,bomb_planted,65282,21,A
15,77309,bomb_planted,65281,21,A
15,79933,bomb_exploded,65281,21,A
16,83755,bomb_planted,65284,21,A
22,125951,bomb_planted,65281,21,A
2,14205,bomb_planted,65287,22,B
3,20378,bomb_planted,65288,22,A
4,26979,bomb_planted,65285,22,B
5,35807,bomb_planted,65287,22,A
5,38431,bomb_exploded,65287,22,A
6,43532,bomb_planted,65289,22,B
7,48854,bomb_planted,65289,22,A
7,51478,bomb_exploded,65289,22,A
