round,player_id,team_label,money,current_equipment_cost,match_number
2,65280,CT,3550,500,3
2,65281,CT,3850,300,3
2,65282,CT,3400,1150,3
2,65283,CT,3350,600,3
2,65284,CT,4000,850,3
2,65285,T,2050,200,3
2,65286,T,2400,200,3
2,65287,T,2400,200,3
2,65288,T,2700,200,3
2,65289,T,2700,200,3
3,65280,CT,3250,200,3
3,65281,CT,5200,3100,3
3,65282,CT,4350,2100,3
3,65283,CT,3950,4700,3
3,65284,CT,4000,3150,3
3,65285,T,4150,200,3
3,65286,T,4600,200,3
3,65287,T,4500,200,3
3,65288,T,5100,200,3
3,65289,T,5100,200,3
4,65280,CT,1850,200,3
4,65281,CT,5100,200,3
4,65282,CT,4350,200,3
4,65283,CT,3900,200,3
4,65284,CT,4300,200,3
4,65285,T,3700,3900,3
4,65286,T,3650,4100,3
4,65287,T,4150,3900,3
4,65288,T,5350,200,3
4,65289,T,4550,3900,3
5,65280,CT,4500,3400,3
5,65281,CT,8200,200,3
5,65282,CT,5100,5300,3
5,65283,CT,6850,200,3
5,65284,CT,5750,200,3
5,65285,T,4400,200,3
5,65286,T,4750,200,3
5,65287,T,5650,200,3
5,65288,T,3050,200,3
5,65289,T,5200,200,3
6,65280,CT,3900,200,3
6,65281,CT,4100,200,3
6,65282,CT,3000,200,3
6,65283,CT,6250,200,3
6,65284,CT,1400,5950,3
6,65285,T,4200,200,3
6,65286,T,3750,200,3
6,65287,T,5250,4500,3
6,65288,T,6550,200,3
6,65289,T,4600,200,3
7,65280,CT,1900,200,3
7,65281,CT,1950,200,3
7,65282,CT,2200,200,3
7,65283,CT,2950,200,3
7,65284,CT,2900,200,3
7,65285,T,4050,3900,3
7,65286,T,4100,6150,3
7,65287,T,8700,3900,3
7,65288,T,5900,3900,3
7,65289,T,3450,200,3
8,65280,CT,2400,1900,3
8,65281,CT,4350,200,3
8,65282,CT,4400,200,3
8,65283,CT,5350,3200,3
8,65284,CT,4500,200,3
8,65285,T,6750,4100,3
8,65286,T,7100,6150,3
8,65287,T,8500,200,3
8,65288,T,8200,3900,3
8,65289,T,6150,3900,3
9,65280,CT,3500,200,3
9,65281,CT,3500,200,3
9,65282,CT,3800,6350,3
9,65283,CT,7250,4700,3
9,65284,CT,4100,200,3
9,65285,T,7950,200,3
9,65286,T,8800,200,3
9,65287,T,6300,200,3
9,65288,T,9150,200,3
9,65289,T,7250,200,3
10,65280,CT,2050,200,3
10,65281,CT,3750,200,3
10,65282,CT,4700,200,3
10,65283,CT,5850,200,3
10,65284,CT,1900,200,3
10,65285,T,6700,200,3
10,65286,T,7550,6150,3
10,65287,T,5450,200,3
10,65288,T,5850,6650,3
10,65289,T,4150,200,3
11,65280,CT,4800,500,3
