round,player_id,first_equip_tick,match_number
11,65289,57698,1
12,65282,62735,1
12,65284,61572,1
12,65287,61548,1
12,65288,64570,1
12,65289,61835,1
2,65281,15636,2
2,65282,6444,2
2,65285,18268,2
3,65285,19788,2
4,65285,22945,2
5,65282,30930,2
5,65283,29721,2
5,65288,29805,2
6,65281,42470,2
6,65282,38905,2
6,65285,38023,2
7,65281,42743,2
7,65282,43303,2
7,65285,42928,2
8,65285,48745,2
8,65289,48615,2
9,65285,56907,2
9,65288,57408,2
10,65282,64379,2
11,65282,68676,2
11,65285,74919,2
12,65282,75151,2
12,65284,75269,2
12,65285,75180,2
12,65287,76342,2
17,65282,105747,2
18,65282,110712,2
19,65284,122313,2
19,65287,120437,2
19,65289,122614,2
22,65287,136715,2
22,65289,136649,2
23,65287,140313,2
23,65289,140674,2
24,65285,146780,2
24,65287,146986,2
24,65289,146489,2
3,65281,14289,3
3,65284,16217,3
3,65285,22358,3
3,65286,14841,3
4,65285,23516,3
4,65286,22500,3
4,65287,23194,3
5,65281,30253,3
5,65282,40958,3
5,65285,30633,3
6,65285,43834,3
6,65289,41842,3
7,65281,49181,3
7,65282,48397,3
8,65281,57185,3
9,65281,63558,3
9,65285,63565,3
9,65288,70351,3
10,65285,72353,3
10,65288,72835,3
11,65285,76508,3
11,65288,76355,3
15,65281,103490,3
16,65287,109253,3
17,65287,115435,3
18,65287,121817,3
19,65281,130856,3
19,65284,134437,3
19,65285,138904,3
19,65286,136484,3
19,65287,130322,3
20,65280,147046,3
20,65285,139033,3
20,65286,139000,3
20,65289,142077,3
21,65281,148986,3
21,65283,157146,3
21,65284,150792,3
21,65287,148475,3
21,65288,148368,3
22,65281,158094,3
5,65283,27252,4
6,65283,33646,4
7,65283,43994,4
11,65283,74162,4
11,65287,74312,4
11,65289,74295,4
12,65283,80137,4
12,65287,80279,4
15,65287,95580,4
20,65287,125732,4
21,65282,133723,4
21,65285,135033,4
21,65288,132686,4
22,65285,137124,4
23,65285,141598,4
24,65283,148068,4
24,65285,148078,4
4,65282,22311,5
4,65287,27566,5
5,65280,30023,5
5,65281,32802,5
5,65284,31095,5
5,65287,28749,5
6,65280,40712,5
6,65287,36361,5
9,65280,56395,5
10,65280,64690,5
11,65280,70689,5
12,65280,76108,5
15,65283,93822,5
15,65285,89926,5
16,65282,94117,5
16,65283,93943,5
16,65289,94794,5
8,65283,58488,6
8,65287,52653,6
9,65280,59223,6
10,65280,63554,6
10,65281,64982,6
10,65287,67395,6
11,65287,70008,6
11,65289,72326,6
18,65280,111764,6
19,65280,115315,6
20,65280,120642,6
4,65284,16451,7
4,65285,15838,7
4,65288,19054,7
5,65283,19471,7
5,65285,19210,7
5,65287,20379,7
6,65280,32307,7
6,65282,32445,7
6,65283,29327,7
6,65284,26343,7
6,65285,26114,7
6,65287,27861,7
7,65280,33172,7
7,65284,32840,7
