round,tick,event_type,player_id,match_number,site
2,8236,bomb_planted,65289,1,B
3,13933,bomb_planted,65285,1,B
3,16557,bomb_exploded,65285,1,B
7,36869,bomb_planted,65289,1,B
7,39493,bomb_exploded,65289,1,B
8,45354,bomb_planted,65285,1,B
9,49033,bomb_planted,65287,1,A
10,53681,bomb_planted,65288,1,B
10,56305,bomb_exploded,65288,1,B
12,64278,bomb_planted,65288,1,A
14,76904,bomb_planted,65282,1,B
19,104339,bomb_planted,65282,1,B
2,15347,bomb_planted,65287,2,A
2,17971,bomb_exploded,65287,2,A
4,27407,bomb_planted,65289,2,A
4,29137,bomb_defused,65282,2,A
11,72817,bomb_planted,65285,2,A
12,83006,bomb_planted,65289,2,A
12,84353,bomb_defused,65283,2,A
13,88769,bomb_planted,65282,2,A
13,90820,bomb_defused,65286,2,A
14,93745,bomb_planted,65284,2,B
15,98322,bomb_planted,65281,2,B
16,102869,bomb_planted,65282,2,A
17,107902,bomb_planted,65281,2,B
17,109989,bomb_defused,65288,2,B
18,116984,bomb_planted,65281,2,A
19,122251,bomb_planted,65280,2,B
19,124088,bomb_defused,65286,2,B
23,143236,bomb_planted,65282,2,A
23,145644,bomb_defused,65287,2,A
2,11632,bomb_planted,65281,3,A
2,13698,bomb_defused,65289,3,A
4,27974,bomb_planted,65282,3,A
4,29629,bomb_defused,65289,3,A
5,38674,bomb_planted,65282,3,B
5,41298,bomb_exploded,65282,3,B
6,46319,bomb_planted,65282,3,A
7,52478,bomb_planted,65283,3,B
7,55102,bomb_exploded,65283,3,B
12,86713,bomb_planted,65282,3,B
15,106195,bomb_planted,65289,3,A
15,108819,bomb_exploded,65289,3,A
16,112704,bomb_planted,65288,3,B
17,119249,bomb_planted,65289,3,A
18,128333,bomb_planted,65289,3,A
19,137172,bomb_planted,65286,3,A
20,145965,bomb_planted,65288,3,B
20,147629,bomb_defused,65283,3,B
22,159945,bomb_planted,65289,3,B
2,9259,bomb_planted,65285,4,B
2,11883,bomb_exploded,65285,4,B
4,24844,bomb_planted,65288,4,B
5,30944,bomb_planted,65289,4,A
5,33068,bomb_defused,65283,4,A
6,40905,bomb_planted,65285,4,B
6,43529,bomb_exploded,65285,4,B
7,46676,bomb_planted,65288,4,B
10,72040,bomb_planted,65286,4,B
11,77007,bomb_planted,65286,4,A
11,79631,bomb_exploded,65286,4,A
14,94039,bomb_planted,65284,4,A
15,99652,bomb_planted,65281,4,B
17,112983,bomb_planted,65281,4,B
18,119985,bomb_planted,65284,4,A
20,131133,bomb_planted,65284,4,A
22,138701,bomb_planted,65281,4,B
22,141076,bomb_defused,65285,4,B
23,146934,bomb_planted,65284,4,A
23,147517,bomb_defused,65287,4,A
3,19145,bomb_planted,65285,5,B
3,21387,bomb_defused,65280,5,B
5,32969,bomb_planted,65285,5,B
5,35593,bomb_exploded,65285,5,B
6,42386,bomb_planted,65286,5,A
6,44725,bomb_defused,65280,5,A
12,78946,bomb_planted,65286,5,A
13,84232,bomb_planted,65282,5,
2,11297,bomb_planted,65285,6,A
3,20225,bomb_planted,65285,6,A
3,21593,bomb_defused,65284,6,A
6,41296,bomb_planted,65288,6,A
7,49067,bomb_planted,65285,6,A
7,51691,bomb_exploded,65285,6,A
10,69289,bomb_planted,65289,6,A
13,87189,bomb_planted,65280,6,A
15,98016,bomb_planted,65280,6,A
17,108899,bomb_planted,65284,6,B
18,114199,bomb_planted,65280,6,B
19,118529,bomb_planted,65283,6,A
20,122828,bomb_planted,65280,6,A
20,125452,bomb_exploded,65280,6,A
2,8223,bomb_planted,65288,7,B
3,13791,bomb_planted,65289,7,B
4,18450,bomb_planted,65288,7,A
5,25361,bomb_planted,65286,7,A
7,36266,bomb_planted,65288,7,A
9,46760,bomb_planted,65287,7,B
10,55725,bomb_planted,65285,7,A
10,57579,bomb_defused,65281,7,A
12,67441,bomb_planted,65288,7,B
12,69583,bomb_defused,65282,7,B
17,93163,bomb_planted,65283,7,A
18,100802,bomb_planted,65280,7,A
21,120233,bomb_planted,65283,7,A
23,129531,bomb_planted,65282,7,A
23,131742,bomb_defused,65285,7,A
2,11734,bomb_planted,65285,8,A
4,25217,bomb_planted,65289,8,B
4,26814,bomb_defused,65280,8,B
11,78945,bomb_planted,65289,8,A
11,81341,bomb_defused,65280,8,A
13,89262,bomb_planted,65281,8,B
14,94017,bomb_planted,65282,8,A
16,105702,bomb_planted,65282,8,A
17,110168,bomb_planted,65283,8,B
2,7521,bomb_planted,65286,9,B
3,12962,bomb_planted,65287,9,A
4,20328,bomb_planted,65286,9,A
5,25607,bomb_planted,65286,9,B
5,28231,bomb_exploded,65286,9,A
7,35546,bomb_planted,65286,9,B
10,47316,bomb_planted,65288,9,B
11,51607,bomb_planted,65285,9,B
2,9384,bomb_planted,65286,10,B
6,33595,bomb_planted,65289,10,A
7,39006,bomb_planted,65286,10,B
7,41630,bomb_exploded,65286,10,A
8,47315,bomb_planted,65286,10,A
8,49939,bomb_exploded,65286,10,A
10,60879,bomb_planted,65288,10,A
10,63503,bomb_exploded,65288,10,B
3,17936,bomb_planted,65286,11,B
6,29902,bomb_planted,65287,11,B
7,37075,bomb_planted,65285,11,B
7,37895,bomb_defused,65284,11,B
14,70134,bomb_planted,65280,11,A
15,74076,bomb_planted,65280,11,A
16,79411,bomb_planted,65280,11,A
4,18849,bomb_planted,65284,12,A
9,47271,bomb_planted,65282,12,B
10,52676,bomb_planted,65282,12,A
10,55300,bomb_exploded,65282,12,A
11,59830,bomb_planted,65282,12,A
14,74348,bomb_planted,65288,12,B
21,108592,bomb_planted,65285,12,A
2,8918,bomb_planted,65288,13,A
3,13112,bomb_planted,65286,13,A
3,15379,bomb_defused,65282,13,A
4,20598,bomb_planted,65287,13,A
4,22969,bomb_defused,65280,13,A
5,27803,bomb_planted,65286,13,A
6,33047,bomb_planted,65285,13,A
7,38905,bomb_planted,65288,13,A
9,47483,bomb_planted,65288,13,A
11,57176,bomb_planted,65288,13,A
12,62276,bomb_planted,65288,13,A
12,63703,bomb_defused,65280,13,A
13,68756,bomb_planted,65281,13,B
15,79229,bomb_planted,65281,13,A
16,83991,bomb_planted,65284,13,B
18,92456,bomb_planted,65281,13,B
18,94371,bomb_defused,65288,13,B
19,97796,bomb_planted,65282,13,A
21,108859,bomb_planted,65281,13,B
21,111220,bomb_defused,65287,13,B
4,26098,bomb_planted,65282,14,B
5,31137,bomb_planted,65280,14,A
6,38175,bomb_planted,65284,14,A
8,52485,bomb_planted,65281,14,A
8,55109,bomb_exploded,65281,14,A
9,60145,bomb_planted,65284,14,B
10,66002,bomb_planted,65282,14,A
12,76880,bomb_planted,65280,14,A
