round,player_id,team_label,money,current_equipment_cost,match_number
2,65280,CT,2350,200,1
2,65281,CT,2700,200,1
2,65282,CT,2500,200,1
2,65283,CT,1900,200,1
2,65284,CT,2050,200,1
2,65285,T,3400,200,1
2,65286,T,3700,850,1
2,65287,T,4650,200,1
2,65288,T,4650,200,1
2,65289,T,4050,200,1
3,65280,CT,4050,200,1
3,65281,CT,4500,200,1
3,65282,CT,3150,200,1
3,65283,CT,3800,200,1
3,65284,CT,3850,200,1
3,65285,T,6300,2550,1
3,65286,T,5450,1500,1
3,65287,T,4900,2900,1
3,65288,T,6550,200,1
3,65289,T,4700,200,1
4,65280,CT,3650,4100,1
4,65281,CT,6900,200,1
4,65282,CT,3050,200,1
4,65283,CT,2900,200,1
4,65284,CT,4000,200,1
4,65285,T,6900,3000,1
4,65286,T,8550,200,1
4,65287,T,8200,200,1
4,65288,T,6850,200,1
4,65289,T,7250,200,1
5,65280,CT,5400,200,1
5,65281,CT,5800,5200,1
5,65282,CT,3950,3100,1
5,65283,CT,3550,3400,1
5,65284,CT,3600,3250,1
5,65285,T,4250,200,1
5,65286,T,5150,200,1
5,65287,T,6400,200,1
5,65288,T,6450,200,1
5,65289,T,4100,200,1
6,65280,CT,3350,4700,1
6,65281,CT,8150,200,1
6,65282,CT,5000,4500,1
6,65283,CT,5000,200,1
6,65284,CT,6050,200,1
6,65285,T,3050,200,1
6,65286,T,4250,200,1
6,65287,T,8300,200,1
6,65288,T,5950,200,1
6,65289,T,2750,200,1
7,65280,CT,5900,200,1
7,65281,CT,7350,4700,1
7,65282,CT,6500,5500,1
7,65283,CT,4150,4100,1
7,65284,CT,3800,200,1
7,65285,T,2750,200,1
7,65286,T,4950,200,1
7,65287,T,5600,200,1
7,65288,T,3850,200,1
7,65289,T,3350,200,1
8,65280,CT,1600,200,1
8,65281,CT,4550,200,1
8,65282,CT,8300,200,1
8,65283,CT,4700,200,1
8,65284,CT,2800,200,1
8,65285,T,6150,200,1
8,65286,T,7050,200,1
8,65287,T,6400,200,1
8,65288,T,5650,200,1
8,65289,T,3800,200,1
9,65280,CT,3800,200,1
9,65281,CT,3850,200,1
9,65282,CT,4400,200,1
